mention_text,count
Пьер,769
Андрей,547
Наташа,448
Николай,296
Князь Андрей,253
Андрея,224
Борис,182
Кутузов,168
Долохов,164
Пьерa,153
Наполеон,146
Соня,141
Денисов,132
Марья,123
Андрею,111
Ростов,104
Анна Павловна,104
Василий,101
Элен,101
Бурьен,98
Княжна Марья,97
Анатоль,96
Наполеона,87
Ах,84
Анна Михайловна,84
Кутузова,82
Пьера,79
Алпатыч,78
Николая,72
Багратион,71
Наташи,71
Берг,69
Наташу,67
Болконский,65
Пьеру,65
Долохова,63
Несвицкий,60
Петя,60
Бориса,59
Наташе,58
Ростовых,57
Денисова,54
Василия,53
Пьерy,49
Княжна,46
Анатоля,45
Сперанский,45
Ежели,44
Болконского,43
Наташей,43
Бонапарт,42
Жюли,41
Анны Павловны,40
Князь Василий,40
Тихон,39
Александра,39
Багратиона,39
Марье,38
Марьи,38
Кутузову,37
Ипполит,36
Билибин,36
Буонапарте,35
Бог,35
Балашов,35
Государь,34
Тушин,34
Николаю,33
Борису,32
Александр,31
Безухова,31
Жерков,31
Графиня,30
Пьером,30
Ростовым,30
Андреем,30
Вера,30
Наполеону,29
Даву,29
Бенигсен,29
Балашова,27
Граф,26
Сони,26
Пфуль,26
Бонапарта,26
Марью,25
Князь,25
Сперанского,24
Соне,24
Он,24
Соню,24
Мадемуазель Бурьен,23
Бога,23
Тушина,23
Митенька,23
Дрон,23
Княгиня,23
Пончини,22
Данила,22
Марья Дмитриевна,21
Яков Алпатыч,21
Наполеоном,20
Богу,20
Ильин,19
Анны Михайловны,19
Болконскому,19
Долгорукий,19
Коко,19
Николаем,19
Я,18
Лицо,18
Борисом,18
Аракчеев,18
Николай Ростов,18
Соней,18
Телянин,17
Жорж,17
Ростопчин,17
Старик,17
Билибина,17
Безухов,17
Алпатыча,17
Ростовы,17
Мюрат,17
Николай Андреевич,17
Лиза,16
Анне Павловне,16
Дядюшка,16
Ростову,16
Шиншин,16
Петю,15
Илья Андреевич,15
Долохову,15
Карай,15
Тимохин,14
Тихона,14
Бонапарте,14
Князю Андрею,14
Мари,14
Вас,14
Семен,14
Андрее,14
Василию,14
Натали,14
Берга,14
Багратиону,14
Метивье,14
Ты,13
Козловский,13
Денисовым,13
Вере,13
Жеркова,13
Виконт,13
Паулучи,12
Армфельд,12
Анатолю,12
Бенигсена,12
Бертье,12
Вейротер,12
Солдат,11
Софи,11
Анатоль Курагин,11
Бонапартом,11
Дрона,11
Генерал,11
Анну Михайловну,11
Долоховым,11
Дуняша,11
Глаза,11
княжна Марья,11
Кутайсов,11
Пети,10
Анет,10
Один,10
Ферапонтов,10
Лошади,10
Кочубей,10
Мама,10
Офицер,10
Марья Генриховна,10
Ростопчина,10
Барклай,10
Раевского,10
Курагина,10
Курагин,10
Нынче,10
Илагин,10
Макка,10
Денисову,10
Диммлер,10
Анисья Федоровна,10
Аракчеева,9
Тушину,9
Господа,9
Вейротера,9
Лаврушка,9
Анной Михайловной,9
Доктор,9
Батюшка,9
Магницкий,9
Телянина,9
Балашову,9
Борисе,9
Старичок,9
Коли,9
Суворова,9
Несвицкого,8
Дронушка,8
Beausset,8
Laborde,8
Макк,8
Волконский,8
Александру,8
Кутузовым,8
Ланжерон,8
Долгорукого,8
Бергу,8
Катишь,8
Бергом,8
Сперанскому,8
Мюрата,8
Суворов,8
Богданыч,8
Гусары,8
Шиншина,8
Франц,8
Бонапарту,8
Захар,8
Анну Павловну,8
Ему,8
князя Андрея,8
Князь Ипполит,8
Ростовой,8
Друбецкой,8
Пете,7
Его,7
Безухову,7
Марьи Дмитриевны,7
Илья Андреич,7
Пойдемте,7
Граф Илья Андреич,7
Ильиным,7
Эй,7
Петр,7
Николай Андреич,7
Балашовым,7
Пфуля,7
Веры,7
Мюрату,7
Аустерлица,7
Багратионом,7
Богом,7
Ругай,7
Тимохина,7
Вишь,7
Ступай,7
Боже,7
Маша,7
Франца,7
Алпатычу,7
Прощайте,7
Пьере,7
Анной Павловной,7
Бурбонов,7
Несвицкому,7
Настасья Иваныч,6
Анисьи Федоровны,6
Безуховой,6
Кучер,6
Вольцоген,6
Адъютант,6
Ура,6
Барклая де Толли,6
Толь,6
Fabvier,6
Сперанским,6
Марьей,6
Ишь,6
Жерковым,6
Император,6
Ей-богу,6
Ерза,6
Коленкур,6
Екатерины,6
Винцингероде,6
Тебе,6
Христос,6
Данилы,6
Князь Багратион,6
Тут,6
Петруша,6
Верой,6
Оттого,6
Анатолем,6
Милорадовича,6
Иосиф Алексеевич,5
Васька Денисов,5
Любим,5
Ипполиту,5
Федя,5
Анатоля Курагина,5
Ростова,5
Иди,5
